datetime,tempF,windspeedMiles,weatherCode,precipMM,precipInches,humidity,visibility,visibilityMiles,pressure,pressureInches,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,uvIndex,subba-name,value,value-units,zone
2023-12-25T00,63,7,113,0.0,0.0,66,10,6,1011,30,1,17,63,11,51,17,63,13,22,17,63,1,ERCO - Coast,11596,megawatthours,COAS
2023-12-25T00,39,16,113,0.0,0.0,60,10,6,1018,30,0,4,39,-3,26,-1,30,23,37,-1,30,1,ERCO - North,1342,megawatthours,NRTH
2023-12-25T00,54,15,116,0.0,0.0,65,10,6,1012,30,31,12,54,6,42,10,50,20,32,10,50,1,ERCO - North Central,11632,megawatthours,NCEN
2023-12-25T00,58,8,116,0.0,0.0,41,10,6,1013,30,33,14,58,1,35,14,56,17,27,14,56,1,ERCO - South,3548,megawatthours,SOUT
2023-12-25T00,46,5,113,0.0,0.0,56,10,6,1016,30,2,8,46,-0,31,6,43,9,14,6,43,1,ERCO - Far West,6083,megawatthours,FWES
2023-12-25T00,45,10,113,0.0,0.0,61,10,6,1017,30,0,7,45,0,33,5,40,18,28,5,40,1,ERCO - West,1370,megawatthours,WEST
2023-12-25T00,56,7,113,0.0,0.0,93,10,6,1009,30,4,14,56,12,54,13,55,15,23,13,55,1,ERCO - East,1525,megawatthours,EAST
2023-12-25T00,58,13,113,0.0,0.0,52,10,6,1013,30,1,15,58,5,41,13,56,21,34,13,56,1,ERCO - South Central,7116,megawatthours,SCEN
2023-12-25T01,44,10,113,0.0,0.0,62,10,6,1017,30,0,7,44,-0,32,4,39,17,27,4,39,1,ERCO - West,1390,megawatthours,WEST
2023-12-25T01,57,8,113,0.0,0.0,45,10,6,1014,30,21,14,57,2,36,13,55,17,27,13,55,1,ERCO - South,3500,megawatthours,SOUT
2023-12-25T01,57,13,113,0.0,0.0,57,10,6,1014,30,4,14,57,6,42,12,54,20,32,12,54,1,ERCO - South Central,7135,megawatthours,SCEN
2023-12-25T01,61,6,113,0.0,0.0,68,10,6,1011,30,5,16,61,10,50,16,61,12,19,16,61,1,ERCO - Coast,11708,megawatthours,COAS
